"代號","名稱","成交","漲跌幅","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","3日最高股價","5日最高股價","10日最高股價","一個月最高股價","三個月最高股價","半年最高股價","一年最高股價","3日最低股價","5日最低股價","10日最低股價","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","三大法人3日累計買賣超佔成交(%)","三大法人5日累計買賣超佔成交(%)","券資比3日增減","券資比5日增減","12/24成交量(張)","12/23成交量(張)"
="2412","中華電","115.5","0","0","+0.43","+1.32","+1.76","+3.59","+0.87","116","116","116","116","116","118.5","118.5","114.5","114","113.5","112","110","109","108","+10.3","+7.34","-3.5","-3.37","7,854","11,385"
="2419","仲琦","23.7","-0.63","-1.04","-1.86","-2.67","+1.28","+24.4","+13.9","24.4","24.45","27.5","27.5","27.5","27.5","27.5","23.65","23.6","23.6","22.05","18.55","17.9","17.9","+1.87","+2.34","-0.59","-0.82","1,144","1,465"
="2426","鼎元","29.7","+2.41","+5.51","+6.64","+6.64","+2.59","+27.5","+17.4","29.9","29.9","29.9","32.95","32.95","32.95","32.95","28","27.45","27.45","25.75","19.7","19.7","16","-2.69","-3.21","-0.16","-0.16","22,875","25,659"
="2431","聯昌","13.85","-2.12","+4.14","+7.78","+6.13","+9.92","+21.5","-3.15","14.65","14.65","14.65","14.65","14.65","15.75","16.9","13.15","12.6","12.6","11.9","10.3","10.3","10.25","-1.19","-1.47","+7.37","+7.79","1,719","13,439"
="2436","偉詮電","95.4","-0.62","-3.64","-1.24","+4.95","-4.12","+10.9","+31.4","102","102","102","102","115.5","115.5","115.5","95.3","95.3","88","88","70.4","65","41.55","+4.06","+2.53","+0.02","+0.18","5,498","12,250"
="2442","新美齊","13.2","-0.75","+0.76","+1.54","-2.22","+13.3","+12.3","+32.1","13.45","13.45","14.35","14.35","14.35","14.35","14.35","13.05","12.9","12.9","11.15","11.05","9.75","9.08","-8.38","-0.01","-0.83","-0.34","1,709","1,510"
="2449","京元電子","43.8","+0.57","+1.27","+0.92","-1.13","+2.58","+2.94","+3.91","44.1","44.1","44.75","45.85","45.85","51.4","52","43.1","43","43","41.2","36.4","36.4","33.95","-3.07","-11.3","-0.24","-0.07","3,462","7,158"
="2451","創見","73.8","-0.14","+0.96","+1.65","+5.13","+4.68","+8.37","+0.82","74.7","74.7","74.7","74.7","74.7","79","91.9","72.7","72.3","70.1","68.1","65.2","65.2","61.4","+19.1","+17.5","-0.08","-0.13","1,625","2,326"
="2453","凌群","29.5","+1.9","+2.79","+8.86","+8.46","+14.3","+36.9","+19.7","29.6","29.7","29.7","29.7","29.7","29.7","30","28.4","27.1","26.9","25","21.5","21.3","16.6","+14.9","+14.3","+0.32","+0.32","972","814"
="2454","聯發科","1120","+2.28","+2.75","+4.19","+4.19","+7.69","+21.7","+20.8","1130","1130","1130","1130","1130","1130","1185","1080","1055","1045","991","839","839","712","+17","+1.24","+1.73","+1.42","5,197","2,771"
="2455","全新","145.5","+1.75","+3.56","+5.82","+3.93","-2.68","+17.3","+5.43","146.5","146.5","146.5","162.5","162.5","162.5","162.5","140","136","136","136","110.5","109.5","89.6","+3.09","-11.8","+0.03","-0.03","3,163","1,908"
="2457","飛宏","49.4","-1","+14.8","+8.81","+28.5","+29.8","+51.1","+24.1","52","52","52","52","52","52","52","43.3","42.7","38.85","34.35","27.95","27.95","15.5","+0.51","+0.7","+5.5","+5.04","69,041","209,815"
="2461","光群雷","25.5","+9.91","+12.6","+12.3","+10.9","+7.59","+21.1","+26.9","25.5","25.5","25.5","25.5","25.5","25.5","25.5","22.7","22.5","22.45","21.95","18.45","18.45","16","+11","+2.71","-0.21","-0.37","24,341","1,052"
="2465","麗臺","85.8","-5.92","+5.93","+21.7","+20.2","+22","+39.5","-1.72","98","98","98","98","98","98","98","82.9","71.7","70","66.5","52","52","16.05","+3.53","+3.33","+11.1","+15.3","27,047","45,555"
="2476","鉅祥","77.7","-0.26","+19.9","+29.5","+18.3","+26.8","+41.8","+85","80.4","80.4","80.4","80.4","80.4","80.4","80.4","64.8","60.2","59.6","55.8","46.8","41","20.45","+10.1","+9","+6.77","+6.03","32,020","60,855"
="2481","強茂","107.5","-3.59","-0.46","+2.87","+2.38","-4.02","+13.2","+31.4","114","114","114","116.5","125","125","125","107","103","102","100.5","78","78","39.6","+9.51","+5.4","+0.77","+0.78","21,046","16,026"
="2482","連宇","16.4","+0.31","0","-4.09","-2.96","+8.61","+25.2","+28.1","16.8","17.75","19.45","19.45","19.45","19.45","19.45","16.25","16.25","16.25","13.6","12.05","11.15","9.9","+4.84","+1.25","-25.6","-41.8","1,895","1,667"
="2483","百容","27","+9.98","+11.1","+12","+11.6","+9.53","+2.27","+24.7","27","27","27","27","27","31.45","31.45","24.25","24.1","23.7","22.85","22.5","21.75","18","+10.9","-0.55","0","0","10,625","589"
="2484","希華","39.3","-1.01","-1.38","+0.13","-0.25","-5.07","+25.2","+10.9","42","42","42","43.6","46.1","46.1","46.1","39.2","38.75","38.5","38.2","28.45","28.45","21.6","+2.6","+1.06","+0.86","-0.42","2,152","2,998"
="2497","怡利電","86.1","+6.3","+6.17","+7.62","+3.73","+73.9","+165","+143","89","89","91","91","91","91","91","78.5","74.2","74.2","50.1","28.6","28.6","25.4","-3.84","-2.55","-0.44","0","23,065","6,328"
="2498","宏達電","86.4","-0.8","+4.1","+6.93","+7.06","+8.82","+133","+113","89.5","89.5","89.5","89.5","97.3","97.3","97.3","83.8","80.1","75.3","72.3","33.7","33.7","27.7","+5.37","+4.28","+0.76","+1.89","115,396","93,450"
="2504","國產","29","0","-3.65","-2.03","+6.03","+6.62","+26.4","+19.1","30","30.6","30.6","30.6","30.6","30.6","30.9","28.8","28.8","27","25.95","22.9","21.1","20.6","+7.64","+3.28","-0.02","+0.05","2,974","5,653"
="2511","太子","13.2","-0.75","-1.12","-2.58","-0.38","-2.58","-2.58","+10","13.45","13.6","13.85","13.85","13.95","14.6","14.6","13.15","13.15","13.15","13","12.5","11.75","10.65","-7.91","-0.2","0","-0.1","1,015","924"
="2520","冠德","37.45","0","-0.53","-0.66","-3.73","-2.73","-4.22","-2.6","37.85","37.85","39.05","39.1","39.4","44.35","44.6","37.35","37.35","37.35","37.35","37.35","37.35","31.5","-36.2","-33.1","0","+0.17","968","2,260"
="2534","宏盛","24.1","0","+0.63","+2.55","+3.88","+2.99","+10.3","+22.3","24.15","24.15","24.15","24.15","24.9","24.9","24.9","23.7","23.35","22.55","21.95","21.65","19.45","17.85","+10.8","+11.3","-0.14","-0.08","1,660","2,209"
="2537","聯上發","10.2","-0.49","-0.97","-0.49","-2.86","-3.32","+4.19","+2","10.35","10.4","10.6","11.05","11.15","11.15","11.15","10.15","10.15","10.15","10.05","9.3","9.11","7.92","+0.29","+0.85","0","0","905","1,793"
="2542","興富發","46.2","+0.33","-1.7","-2.22","-0.65","-1.39","+2.44","+5.96","47","47.75","47.75","47.8","48.7","49.8","49.8","45.8","45.8","45.8","45.8","44.15","43.15","40.4","-24.7","-7.5","-16.7","-0.52","3,974","14,841"
="2610","華航","26.2","+0.19","-0.38","0","-8.71","-12.8","+61.7","+30.7","27.05","27.05","29","31.15","31.15","31.15","31.15","26.1","25.95","25.9","24.25","16.05","15.4","9.97","-0.08","+1.4","-1.26","-1.15","155,939","88,041"
="2618","長榮航","26.8","+0.75","+0.19","+1.52","-8.53","-5.47","+49.7","+24.4","27.8","27.8","29.9","30.55","30.55","30.55","30.55","26.55","26.1","26.1","23.5","18","17.05","11.9","-5.3","-1.53","-1","+0.08","119,391","48,924"
