"代號","名稱","成交","漲跌幅","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","5日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","21W46外資買賣超張數","21W46外資買賣超佔成交(%)","一個月最高股價","三個月最高股價","半年最高股價","一年最高股價"
="3305","昇貿","85.5","-1.84","56.8","44.1","38.2","25.2","+7.01","+44.7","+83.9","+116","+237","+1,324","+2.06","92.4","92.4","92.4","92.4"
="3363","上詮","34.8","+2.05","27.6","24.9","23.7","22.05","-0.57","+26.1","+29.1","+44.1","+31.6","-298","-1.34","37","37","37","38"
="3419","譁裕","26.6","+4.72","14.95","13.6","13.6","13.6","+44.6","+77.3","+61.7","+50.7","+56.9","-76","-0.67","26.8","26.8","26.8","27.95"
="3491","昇達科","171","-4.47","84.6","66.6","62.5","58.6","+10.7","+100","+150","+172","+141","-168","-0.73","185","185","185","185"
="3504","揚明光","146","+9.77","108.5","86","67.8","53","+9.36","+30.4","+60.3","+107","+153","-358","-0.8","151.5","151.5","151.5","151.5"
="3508","位速","55","+3","20.3","18.5","18.5","17.3","+23.5","+170","+179","+163","+217","+863","+0.25","60","60","60","60"
="3515","華擎","258.5","+10","162","126","125","125","+19.7","+45.6","+89.4","+65.7","+55.3","+292","+0.55","258.5","258.5","258.5","258.5"
="3583","辛耘","80.9","-1.34","65.5","58.9","56.1","51.8","+0.5","+24.3","+30.3","+39.5","+35.3","+387","+1.45","87.5","87.5","87.5","87.5"
="3588","通嘉","169","+1.2","116","106.5","62","41.75","+20.7","+45.7","+43.2","+158","+306","+2,862","+4.86","174.5","174.5","174.5","174.5"
="3701","大眾控","60.5","+0.17","41.05","16.35","13.4","12.75","-0.98","+33.3","+233","+316","+357","+589","+1.37","67.2","67.2","67.2","67.2"
="3706","神達","31.75","-1.09","28.05","26.85","26.85","25.3","+8.55","+12.2","+15","+17.8","+9.48","+1,313","+4.11","32.9","32.9","32.9","32.95"
="3707","漢磊","165.5","+3.76","128","85.8","54.2","28.1","+14.1","+25.4","+84.3","+201","+487","-536","-0.32","173.5","173.5","173.5","173.5"
="4721","美琪瑪","168","+0.6","123","102","54.9","50","+3.07","+36.6","+44.8","+197","+185","-1,612","-2.11","182","182","182","182"
="4904","遠傳","64.4","+0.16","61","60","60","59.8","+1.58","+4.72","+5.23","+0.63","+5.57","+6,545","+29.5","64.6","64.6","65.9","66.8"
="4927","泰鼎-KY","103","+2.49","73.7","54","50.3","44.55","+11.6","+33.2","+82.3","+98.5","+26.2","+6,642","+8.03","107","107","107","107"
="4934","太極","38","+4.68","34.75","26.4","21.95","20.7","+4.83","+5.56","+19.1","+63.1","+36.9","+93","+0.52","40.9","42","42","42"
="5227","立凱-KY","46.8","-3.7","27.65","21.8","9.23","8.85","+10.2","+61.1","+85","+394","+204","+57","+0.5","50.6","50.6","50.6","50.6"
="5230","雷笛克光學","36.4","+1.39","27.9","27.7","27.25","23.8","+21.7","+29.1","+29.5","+28.6","+49.2","-2","-0.05","38.7","38.7","38.7","38.7"
="5258","虹堡","34.55","+3.29","27.4","19.85","19.85","17.8","+6.64","+24.5","+66.1","+73.2","+59.6","+61","+0.18","38.15","38.15","38.15","38.15"
="5263","智崴","154","+1.32","114","106","106","97.8","+4.41","+36.3","+32.8","+32.2","+42.6","+123","+0.59","170.5","170.5","170.5","170.5"
="5351","鈺創","90.1","+0.11","42.85","37.1","21.15","16.35","+9.21","+113","+117","+308","+446","+3,864","+3.52","91.7","91.7","91.7","91.7"
="5371","中光電","89.9","+4.05","54.3","52.1","52.1","34.35","+19.7","+65.3","+66.2","+61.7","+162","-566","-0.52","96","96","96","96"
="5880","合庫金","23.65","+0.85","22.35","20.9","20.4","19.15","+2.38","+5.58","+12.4","+15.1","+15.4","+4,877","+8.35","23.85","23.85","23.85","23.85"
="6104","創惟","193","+7.82","121","100.5","53.5","48","+27.4","+56.9","+81.2","+255","+167","+798","+0.4","196.5","196.5","196.5","196.5"
