"代號","名稱","成交","漲跌幅","2日累計漲跌(%)","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","一個月最高股價","三個月最高股價","半年最高股價","一年最高股價","三大法人3日累計買賣超佔成交(%)","三大法人5日累計買賣超佔成交(%)","券資比3日增減","券資比5日增減"
="2312","金寶","13.45","+1.51","+1.51","+1.89","+0.75","-3.93","-4.95","+8.03","+0.75","+1.13","12.9","11.7","11.35","11.35","14.5","14.75","14.75","18.8","22.7","1.27","0","+0.02"
="2313","華通","42.5","0","-0.93","+3.16","+3.16","+0.47","+2.66","+11.1","+11","-11.2","39.8","34.85","34.85","31.7","45.7","45.7","47.9","48.3","-2.9","-2.67","+0.23","+0.31"
="2314","台揚","80.3","+1.26","+3.48","+2.69","-0.12","-8.54","+1.01","+38.2","+73.8","+162","75.2","56.9","44.8","27","96.5","96.5","96.5","96.5","-5.6","-10.6","-2.38","-2.26"
="2317","鴻海","105","-0.94","-1.41","0","-0.47","-0.47","-2.33","-2.33","-4.11","+19.9","102.5","101","101","85.8","110","111","120","134.5","-24.3","-24.1","-0.03","+0.02"
="2323","中環","8.97","+0.34","+0.22","-0.33","0","-0.22","-2.29","+1.24","-11.6","-2.61","8.56","8.02","8.02","7.99","9.25","9.25","10.6","12.5","-6.89","-3.93","-0.04","0"
="2324","仁寶","23.6","-0.63","-1.05","+1.29","+0.64","-0.63","-3.28","+3.51","+2.83","+16","23.15","22.6","21.25","20.15","24.4","24.85","24.85","27.95","-3.01","-17.9","-0.23","-0.38"
="2327","國巨","454.5","-0.33","-2.26","-3.81","-2.26","-2.88","+8.47","-1.3","-8.37","-2.57","419.5","397.5","397.5","393.5","473","493.5","615","644","-24.7","-12.4","-0.91","-0.36"
="2328","廣宇","38.95","+1.04","+1.04","+2.5","+1.04","-0.76","-2.5","+5.41","+1.43","+78.7","36.85","36.2","35.9","20.4","41.4","43.55","46.3","50.3","5.2","1.58","-0.06","-0.08"
="2329","華泰","26.65","-1.11","+3.5","+3.09","+3.7","+6.18","+5.34","-0.56","+31.6","+81.9","22.8","22.25","19.45","13.5","27.2","28.15","33.3","33.3","15.6","12.2","-0.25","+0.53"
="2330","台積電","602","-0.82","+0.33","-0.99","+0.33","-0.17","0","-2.75","+2.73","+14.9","591","560","551","504","623","623","638","679","-17.4","8.47","-0.36","-0.22"
="2337","旺宏","41.95","-0.83","-0.94","-1.06","-2.44","-2.67","+3.97","+7.84","-0.94","-0.24","40.65","34","34","34","44.25","44.25","48","50","-6.89","-8.93","+0.23","-0.12"
="2338","光罩","112","+4.67","+2.28","+2.28","+9.27","+11.4","+19.5","+34.6","+30.7","+171","89.1","69.3","69.3","36.5","117","117","117","117","2.43","3.5","+1.86","+5.42"
="2340","光磊","57.8","+0.87","-3.83","-1.7","-2.53","-3.51","+33.5","+61.5","+113","+120","41.65","29.3","24.85","21.85","66.2","66.2","66.2","66.2","2.05","-2.3","+0.43","-0.45"
="2342","茂矽","53.2","-4.14","-1.85","+7.91","+7.47","+8.13","+22.7","+21.3","+64.2","+48.4","43.6","39","32.6","26.3","57","57","57","57","-1.56","0.26","+1.63","+1.66"
="2344","華邦電","31.45","-0.16","-1.41","-3.53","-2.93","+0.64","+15","+9.01","-4.55","+19.4","27.65","23.75","23.75","23.4","33.15","33.15","38.5","38.9","-4.87","2.02","-0.83","-0.42"
="2345","智邦","296.5","+1.19","+4.59","+7.04","+0.51","-1.17","+4.96","+8.61","+2.95","+14.5","273.5","226","226","226","311","311","354","354","8.51","-11.7","+7.33","-0.09"
="2347","聯強","62","+1.64","+1.64","+4.03","+4.73","+5.62","+9.35","+17.2","+14.6","+37.2","56.1","50.5","49.8","44.2","62.4","62.4","62.4","62.4","17.2","13","-0.04","-0.76"
="2351","順德","166","+1.53","+1.53","+1.22","+3.43","+3.43","+5.06","+26.2","+80.4","+109","151","116.5","91.2","71.2","185","200","200","200","-1.96","-1.72","-1.67","-0.94"
="2352","佳世達","30.2","+0.67","-0.17","+0.83","+2.03","+0.33","-6.36","+8.63","+1","+15.9","29.2","27.4","27.4","25.5","33.7","33.7","33.7","38.75","-16","-22.9","+0.03","-0.18"
="2353","宏碁","29.9","-1.32","+0.5","-0.83","+6.41","+8.93","+13","+22","-3.7","+27.5","26.45","23.45","23.45","23.25","30.9","30.9","32.4","35.85","0.88","19.4","+0.45","+1.08"
="2354","鴻準","64.3","0","-1.83","-0.16","-0.92","-4.17","-7.61","+2.23","+1.42","+17.6","63.5","62.7","61.3","51.4","71.2","71.8","71.8","79.6","-10.6","-15","-0.05","-0.05"
="2355","敬鵬","35.3","-0.28","+0.57","-1.94","-7.71","+7.62","+18.1","+15.4","+21.3","+14.6","29.1","27.2","27.2","23.85","38.7","38.7","38.7","40.45","-6.74","-3.49","-0.68","-3.13"
="2356","英業達","25.45","-0.78","-0.39","-0.78","-3.05","-1.93","-3.78","+4.09","+0.99","+5.6","25.2","24.25","23.1","22.65","27.1","27.1","27.6","28","-5.63","6.21","-2.61","-4.33"
="2357","華碩","360","-1.77","-1.37","-1.5","0","+1.41","-3.1","+13.6","-6.74","+39.5","351.5","313.5","307","247.5","378","378","390.5","428","-27.1","-11.9","-0.18","-0.14"
="2363","矽統","26.25","0","-1.5","-1.87","-2.23","+2.14","+3.35","-2.96","+19.6","+26.2","24.15","22.2","20.55","15.2","28.6","28.6","31.8","31.8","-9.3","-4.49","-0.42","-0.11"
="2367","燿華","18.65","+0.54","+0.81","+0.81","-1.06","-5.33","+3.32","-1.58","-13.3","-18.4","17.85","16.05","16.05","16.05","23.1","23.1","24.75","24.75","-24.3","-24.5","-0.38","-0.33"
="2368","金像電","71.7","+0.42","+0.28","-1.92","-4.14","0","+4.06","+13.1","+25.8","+37.4","67.3","59.1","56.5","38.65","80","80","83.6","83.6","-12.2","-11.8","-1.12","-3.19"
="2369","菱生","27.15","-0.73","+2.07","+0.56","-2.34","+3.63","+5.23","-4.06","+44.4","+88.5","24.5","23.2","18.4","13.1","29.45","30.45","32.3","32.3","-14.4","-11.4","-1.07","-2.39"
="2371","大同","33.9","-1.6","-0.73","-2.02","-3.28","-9.84","-2.02","+21.5","+36.1","+60.7","31.2","27.5","23.65","20.25","39.9","39.9","39.9","39.9","-34.4","-29.6","-0.33","-0.68"
="2374","佳能","23.9","+1.06","0","+0.21","-1.65","+13.8","+27.8","+64.3","+54.7","+65.4","18.6","14.7","14.45","13.45","25.45","25.45","25.45","25.45","6.04","3.22","-1.23","-1.17"
="2375","凱美","105","-0.47","-8.3","-9.87","-10.3","0","+22.8","+16.8","+1.94","+52.2","85.6","75.8","75.8","67.5","123.5","123.5","126.5","146.5","-5.29","-1.8","-1.65","-1.84"
="2376","技嘉","142.5","+7.55","+5.95","+1.06","+2.52","+6.34","+6.74","+62.5","+25.6","+74.2","127","83","80.5","74.6","148","148","148","148","11.2","11.1","+2.41","+3"
="2377","微星","166","+0.3","+1.53","+2.79","+0.91","+2.15","+5.06","+23","-1.78","+26.2","155","123.5","117","117","173","173","186","203","10.8","3.33","+0.6","+0.58"
="2379","瑞昱","565","0","-2.08","+1.8","+2.91","+4.24","+11.9","+7.62","+13.6","+45.2","506","445","445","381.5","581","581","621","621","23.8","22","-0.25","+0.07"
="2380","虹光","13.25","+0.76","-2.93","-3.64","-3.64","+21.6","+27.4","+25.6","+7.29","+93.4","9.95","8.7","8.7","6.56","14.05","14.05","14.05","16.5","1.56","0.15","0","0"
="2382","廣達","88.4","+0.57","+1.26","+0.68","+0.57","+1.61","+8.47","+16","+3.88","+7.94","80.4","73.8","72.5","72.5","89.2","89.2","92","102","1.71","-3.43","-0.23","-0.58"
="2383","台光電","280","+0.72","+1.63","+2","+0.18","+14.3","+21.7","+26.4","+56.4","+79.5","226.5","200","182","141.5","293.5","293.5","293.5","293.5","23.2","15.9","+0.98","-1.4"
