"代號","名稱","成交","漲跌幅","2日累計漲跌(%)","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","一個月最高股價","三個月最高股價","半年最高股價","一年最高股價","三大法人3日累計買賣超佔成交(%)","三大法人5日累計買賣超佔成交(%)","券資比3日增減","券資比5日增減"
="5607","遠雄港","66.5","+5.22","+9.38","+13.1","+15.5","+21.6","+21.8","+69","+92.2","+122","51.4","36.2","34.05","25.7","66.6","66.6","66.6","66.6","0.67","-4.09","-0.6","-1.82"
="5871","中租-KY","259.5","-1.52","-0.19","+1.17","+2.37","+5.06","-0.38","-1.89","+26.9","+65.8","239.5","223","196","150.5","264.5","283.5","283.5","283.5","9.43","9.95","+0.44","+0.71"
="5876","上海商銀","47.7","-0.21","+0.42","+1.92","+1.49","+1.06","+6.12","+4.26","+6","+21.8","44.55","42.6","40.2","37.4","48.15","48.15","48.15","48.15","28.9","20.7","+0.35","+0.35"
="5880","合庫金","25.2","+2.02","+3.7","+4.13","+5.44","+5.44","+9.57","+15.1","+20","+27.6","22.95","21.6","20.8","19.15","25.2","25.2","25.2","25.2","34.1","31.4","+0.03","-1.7"
="6005","群益證","16.7","+0.6","+1.52","+2.14","+3.09","+0.3","+6.71","+10.6","-0.6","+30.5","15.5","14.5","14.5","12.5","16.9","16.9","17.85","19.6","8.68","3.1","+0.1","+0.01"
="6026","福邦證","17.9","+0.28","+1.42","+1.7","+6.23","+4.37","+6.23","+31.1","+10.8","+92.9","15.5","13.05","13","8.9","18.05","18.05","19.45","21.85","1.4","3.13","0","-0.61"
="6104","創惟","186.5","-4.36","+1.36","-0.53","+0.54","+3.04","+26.9","+29.5","+197","+134","148","112","60.6","48","204.5","204.5","204.5","204.5","-2.44","-1.37","-1.14","-0.32"
="6113","亞矽","15.25","-2.87","+6.64","+17.3","+21","+19.6","+24.5","+35.6","+11.7","+24","11.45","10.1","10.1","10.1","16","16","16","17.85","0.48","0.48","",""
="6118","建達","38.15","+9.94","+5.53","+16","+40","+37","+95.6","+165","+190","+232","20","12.5","12.4","10.9","39.75","39.75","39.75","39.75","0.58","0.36","+18.9","+10.8"
="6125","廣運","25.9","+1.17","-0.77","-1.15","-0.38","-3.18","-2.81","-4.07","+15.1","-15.8","25.2","24.1","21.45","19","29.4","29.8","29.8","31.35","1.35","4.29","-0.35","-0.4"
="6126","信音","28.15","-2.09","-0.71","-2.76","-0.18","+2.36","+5.63","+15.1","+17.8","+13.5","25.95","23.4","22.15","21.15","29.9","32.6","32.6","34.95","5.18","1.22","-0.34","0"
="6134","萬旭","29.45","+0.51","+10.5","+21.4","+46.9","+73.2","+85.2","+84.6","+74.3","+131","15.75","14.6","14.6","11.6","30.9","30.9","30.9","32.1","-1.23","-0.86","+2.79","+8.64"
="6138","茂達","243.5","-0.41","-1.42","-7.06","-4.13","+0.41","+37.6","+57.6","+64.5","+177","178.5","141.5","139","78.2","278.5","278.5","278.5","278.5","-0.18","3.13","-1.07","+0.69"
="6163","華電網","20.85","+1.21","0","+1.96","+4.25","+1.71","-7.74","+9.16","+16.8","+35","19.5","18.3","16.35","14.8","22.5","23.2","23.2","23.2","11.7","-1.05","+3.75","+14.1"
