"代號","名稱","成交","漲跌幅","2日累計漲跌(%)","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價"
="2330","台積電","613","+0.49","+0.49","+0.82","+1.16","+4.43","+2.17","+9.66","+8.11","+23.3","585","551","551","480.5"
="2340","光磊","50.9","+3.98","+14.4","+13.1","+21.5","+15.6","+58.6","+66.3","+110","+99.2","32","29.3","24.3","21.85"
="2347","聯強","57.4","+0.35","-1.54","-0.69","-0.86","+2.14","+8.51","+12.5","+0.17","+31.4","51.8","50.5","49.8","43.1"
="2356","英業達","26.45","-1.49","-2.04","-0.75","+0.19","-0.38","+0.95","+11.1","+4.55","+14.5","26","23.7","23.1","22.65"
="2371","大同","36.2","+4.02","+9.53","+14.4","+10.5","+6.63","+5.54","+37.6","+57.4","+84.2","31.2","26.3","22.9","18.7"
="2374","佳能","21.8","+9.82","+13.8","+12.4","+9.82","+13.5","+22.1","+45.8","+52.4","+61.5","17.5","14.45","14.4","13.3"
="2376","技嘉","138.5","-3.15","-1.42","+1.84","+1.09","+14.5","+25.9","+66.7","+35.8","+84.4","103","80.5","80.5","74.6"
="2412","中華電","115","+0.44","+0.88","+1.77","+2.22","+3.6","+3.14","-1.29","+1.32","+4.55","110","109","109","108"
="2436","偉詮電","104","-4.15","-5.45","-3.7","+11.3","+29.2","+37","+52.7","+86.4","+217","76.7","67.5","56.6","32.35"
="2454","聯發科","1085","+5.34","+4.83","+5.85","+13.7","+16.9","+20.8","+22.2","+16.7","+49","901","839","839","689"
="2476","鉅祥","63.7","+1.11","-0.16","+1.43","+1.92","+1.59","+8.7","+23.7","+107","+231","55.9","46.8","30.6","19.15"
="2484","希華","42.6","+0.71","+2.4","+9.94","+23.7","+26.4","+33.5","+26.4","+68","+102","31.5","28.45","25.1","21.05"
="2504","國產","27.95","+1.64","+0.18","-0.71","+4.1","+12.7","+13.2","+30","+23.9","+1.64","24","21.2","21.1","20.6"
="2537","聯上發","10.7","+1.42","-0.93","-2.73","+4.39","+7.86","+12","+16.7","+22.6","+9.86","9.4","9.11","8.74","7.92"
="2542","興富發","46.6","+0.22","-0.43","-2.2","+2.19","+4.37","+4.6","-2","+10.6","+7.5","44.4","44.15","41.25","40.4"
="2610","華航","28.35","-2.24","+4.61","+7.39","+11.8","+47.7","+67.8","+69.8","+87.7","+207","16.05","15.4","14.95","9.06"
="2618","長榮航","28.3","-3.25","+1.07","+5.79","+4.43","+34.8","+49.7","+54.2","+90.6","+128","18.1","17.05","14.7","11.9"
="2633","台灣高鐵","29.35","+0.51","+0.69","+0.69","+0.51","+1.21","0","+1.03","+4.26","-7.7","28.8","28.2","27.9","26.8"
="2634","漢翔","30.35","+1.17","+1.85","+4.66","+4.3","+5.38","+6.68","+4.84","+14.1","+6.12","27.85","27.2","26.7","25.45"
="2801","彰銀","17.3","+1.76","+2.37","+2.37","+4.53","+5.17","+4.85","+4.22","+5.49","-4.16","16.4","16.1","15.95","15.95"
="2812","台中銀","12.2","+1.24","+1.67","+1.67","+2.09","+2.09","+4.27","+2.95","+8.44","+10.9","11.75","11.35","11.2","10.65"
="2823","中壽","31.15","+0.65","+3.32","+3.32","+7.04","+7.97","+3.83","+9.88","+32.3","+51.2","28.75","28.05","23.5","20.15"
="2834","臺企銀","9.95","+2.16","+3.65","+3.54","+4.85","+5.07","+4.74","+3.43","+6.42","+0.2","9.45","9.39","9.33","9.1"
="2845","遠東銀","10.85","+0.93","+2.36","+2.36","+3.33","+3.83","+3.83","+1.88","+5.34","+0.46","10.4","10.3","10.3","10.2"
="2880","華南金","21.2","+0.47","+1.19","+1.44","+3.41","+4.43","+4.69","+8.72","+18.8","+14","20.2","19.4","17.85","17.15"
="2882","國泰金","63","+1.29","+5","+5.53","+7.51","+8.81","+7.88","+17.1","+18.2","+50.7","57.3","53.2","51.5","39.9"
="2883","開發金","17.1","+0.88","+9.27","+9.62","+17.9","+20.8","+20","+29.5","+44.3","+96.1","14.05","12.9","11.85","8.61"
="2884","玉山金","27.95","0","+0.18","0","+0.72","+4.68","+6.48","+3.71","+10.7","+8.12","26.2","25.8","25.2","23.6"
