"代號","名稱","成交","漲跌幅","2日累計漲跌(%)","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","一個月最高股價","三個月最高股價","半年最高股價","一年最高股價","三大法人3日累計買賣超佔成交(%)","三大法人5日累計買賣超佔成交(%)","券資比3日增減","券資比5日增減"
="5410","國眾","25.5","+0.99","-4.85","-2.67","+5.81","+2.82","+11.4","+14.9","+10.2","+17.2","22.85","21.9","21.4","20.3","28.4","28.4","28.4","28.4","-2.1","-0.89","+0.36","+0.91"
="5471","松翰","95.8","+1.27","-0.73","+3.57","+6.33","+1.48","+10.5","-2.64","+4.36","+42.1","85.7","78.1","78.1","62.7","99.2","101.5","119","119","0.59","2.39","+0.21","+0.07"
="5483","中美晶","211.5","+3.17","+2.42","+2.17","+5.49","+8.46","+10.2","+9.02","+22.6","+32.2","190.5","168","160","140","225","225","225","225","0.35","-1.99","+0.16","+0.69"
="5871","中租-KY","255.5","+0.79","+1.79","+3.44","+5.14","+1.79","-2.85","-0.39","+23.4","+61.7","239.5","223","196","150.5","266.5","283.5","283.5","283.5","5.61","0.57","-0.42","-0.06"
="5876","上海商銀","46.95","-0.11","+0.86","+1.29","+2.62","+0.43","+6.7","+5.03","+3.99","+17.4","43.8","42.6","40.2","37.4","48.15","48.15","48.15","48.15","8.01","-4.62","-0.34","+0.2"
="5880","合庫金","24.05","+0.63","+0.84","+1.26","+2.12","+1.69","+5.71","+7.85","+14.3","+19.4","22.65","21.6","20.8","19.15","24.1","24.1","24.1","24.1","21.5","9.99","-1.56","-0.36"
="6005","群益證","16.35","+0.93","+0.62","+1.24","+0.62","-2.1","+6.86","+4.14","-6.57","+31.3","15.1","14.5","14.5","12.4","16.9","16.9","17.85","19.6","-8.52","-7.02","-0.15","-0.21"
="6104","創惟","183","-1.35","-5.67","+0.27","+3.39","-2.92","+32.1","+14.4","+204","+151","131.5","112","58.8","48","204.5","204.5","204.5","204.5","-1.46","-3.79","+0.2","-1.82"
="6118","建達","29.95","+9.91","0","+7.73","+17","+3.99","+91.4","+116","+137","+165","15","12.5","12.3","10.9","31.65","31.65","31.65","31.65","-1.64","-1.02","-14.3","-17.5"
="6125","廣運","26.35","+1.35","-0.19","-0.19","+0.19","-2.23","-2.41","-4.87","+15.6","-8.51","25.2","24.1","21.45","19","29.4","29.8","29.8","31.35","2.35","2.22","-0.14","-0.2"
