"代號","名稱","成交","漲跌幅","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","3日最高股價","5日最高股價","10日最高股價","一個月最高股價","三個月最高股價","半年最高股價","一年最高股價","3日最低股價","5日最低股價","10日最低股價","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","三大法人3日累計買賣超佔成交(%)","三大法人5日累計買賣超佔成交(%)","券資比3日增減","券資比5日增減"
="2812","台中銀","12.05","+0.42","+0.84","+0.84","-0.41","+1.26","+4.33","+4.78","+11.1","12.05","12.05","12.1","12.25","12.25","12.25","12.25","11.95","11.95","11.9","11.9","11.35","11.35","10.65","2.3","6.36","-0.69","+0.23"
="2823","中壽","30.8","+0.33","+0.33","+0.98","0","+6.21","+7.13","+26.2","+39.7","30.95","30.95","30.95","31.25","31.25","31.25","31.25","30.6","30.45","30.15","28.9","28.7","24.15","21.9","31","31.2","+0.16","+0.21"
="2834","臺企銀","9.76","0","+1.24","+1.46","-1.31","+2.85","+3.83","+2.52","+2.41","9.79","9.79","9.88","10.05","10.05","10.05","10.3","9.63","9.6","9.6","9.48","9.4","9.36","9.1","-22.7","-33.2","-0.01","0"
="2838","聯邦銀","12.95","+1.17","+4.86","+5.71","+5.28","+9.28","+10.2","+11.6","+25.1","13.05","13.05","13.05","13.05","13.05","13.05","13.05","12.35","12.25","12.05","11.8","11.6","11.35","10.3","29.5","26.1","0","-0.22"
="2845","遠東銀","10.65","+0.47","+0.95","+1.91","+0.47","+1.43","-3.18","+0.47","+0.95","10.65","10.65","10.65","10.9","11.15","11.15","11.2","10.5","10.45","10.4","10.4","10.3","10.3","10.2","19.2","14.1","0","0"
="2867","三商壽","9.26","+0.11","+0.54","+0.22","-2.22","+0.98","+1.31","-1.49","+11.2","9.3","9.33","9.48","9.6","9.6","9.6","10.9","9.19","9.16","9.16","9.13","9.05","8.93","7.96","-6.25","-19.3","0","0"
="2880","華南金","21","+0.48","+1.45","+2.19","+0.72","+2.69","+0.96","+14.8","+18.6","21","21","21","21.35","21.35","21.35","21.35","20.6","20.45","20.2","20.2","19.95","18","17.15","1.78","1.34","0","+0.14"
="2881","富邦金","76","0","+2.56","+3.12","+2.29","+3.97","-1.81","+2.98","+68.5","76.2","76.2","76.2","77.2","83.2","85.7","85.7","73.9","73.4","73","72.8","72","69.7","44.1","18.9","2.02","+0.6","+0.53"
="2882","國泰金","60.7","0","+1.17","+2.02","-1.46","+3.76","+3.41","+11","+48","61.2","61.2","61.3","63.5","63.5","63.5","63.5","59.6","59.4","59","58.2","55.4","51.5","39.9","2.94","5.91","+0.03","+0.1"
="2883","開發金","16.65","+0.91","+1.22","+3.1","-0.89","+16.4","+20.7","+33.7","+87.1","16.8","16.8","16.8","17.5","17.5","17.5","17.5","16.3","16.2","15.9","14.25","13.75","12.1","8.9","-16.6","-14.1","-1.66","-0.75"
="2884","玉山金","28","0","+0.36","+1.08","+0.36","+3.7","+6.67","+8.32","+11.6","28.05","28.05","28.05","28.25","28.25","28.25","28.25","27.65","27.6","26.95","26.95","25.8","25.35","23.6","41.8","37","+0.22","+0.23"
="2885","元大金","25","-0.2","+0.4","+1.83","+0.4","+3.31","+1.63","-1.96","+28.5","25.25","25.25","25.25","25.4","25.4","27.8","27.8","24.7","24.5","23.7","23.7","23.7","23.15","19.35","3.13","7.44","-2.51","-2.59"
="2886","兆豐金","35.3","+0.28","+2.02","+3.07","+2.32","+4.75","+9.29","+6.65","+22.8","35.3","35.3","35.3","35.3","35.3","35.3","35.3","34.3","33.9","33.55","33.5","31.85","30.6","28.15","24","16.4","+0.7","-0.35"
="2887","台新金","19","+0.8","+1.6","+2.15","+1.6","+3.83","+5.85","+25.8","+46.7","19","19","19","19.45","19.45","19.7","19.7","18.6","18.45","18","18","17.65","14.7","12.5","33.4","29.9","+0.03","+0.11"
="2888","新光金","10.85","+0.46","+2.36","+3.83","-3.98","+9.82","+16.9","+11.5","+26.8","10.9","10.9","11.25","11.7","11.7","11.7","11.7","10.6","10.45","10.4","9.8","9.07","8.93","8.03","-20.2","-18.3","-0.41","-0.07"
="2889","國票金","15.9","0","+0.32","0","-1.85","+0.95","+0.63","-2.45","+31.4","16","16","16.2","16.45","16.45","17.7","18.2","15.75","15.75","15.7","15.65","15.45","15.45","12","-2.69","-2.8","-0.01","+0.16"
="2890","永豐金","15.7","+0.96","+2.28","+3.63","+1.29","+11","+12.1","+15","+42.1","15.7","15.7","15.7","15.7","15.7","15.7","15.7","15.1","15.1","14.9","14.15","13.65","13.2","10.95","10.8","12.4","+0.03","-0.01"
="2891","中信金","25.9","-0.19","+1.77","+3.6","+3.81","+9.98","+13.3","+15.1","+34.9","26.05","26.05","26.05","26.05","26.05","26.05","26.05","25.25","24.85","24.2","23.4","22.2","21.05","19","25.4","30.7","+0.06","-0.2"
="2892","第一金","24","0","+0.84","+1.27","+0.84","+4.12","+7.38","+8.6","+16.5","24.1","24.1","24.1","24.1","24.1","24.1","24.1","23.65","23.55","23.1","23","22.1","21.95","20.2","30.7","21","+0.36","+0.32"
="2897","王道銀行","7.95","+0.13","+1.53","+2.32","-0.38","+1.02","+0.51","+13.4","+21.7","7.98","7.98","7.98","8.28","8.68","8.68","8.68","7.83","7.8","7.74","7.74","7.45","6.8","6.46","23.5","21.9","-0.01","-0.01"
="2912","統一超","277","+0.73","+0.18","-0.18","-2.64","-4.65","+2.03","+4.73","+3.75","278.5","279","285","294","294","294","294","274.5","273","269","269","269","258","253.5","-8.72","-14.9","+0.01","-0.01"
="3003","健和興","93","+0.32","+0.11","+1.09","-0.64","-3.53","+4.61","+26.9","+109","94.5","94.5","94.5","103","104","109","109","92.2","92","88.1","88.1","79.6","73.9","41.05","18.8","18.4","+0.27","+0.28"
="3011","今皓","12.5","+6.84","+7.3","+12.1","+3.31","-1.57","+12.1","+60.7","+86.8","12.5","12.5","12.5","13","13.75","13.75","13.75","11.6","11.2","11.05","11","9.38","7.21","6.25","22.1","22.4","0","0"
="3016","嘉晶","142.5","-5.32","-5","-3.72","-2.4","+48.1","+64.9","+112","+90.8","153","154.5","154.5","154.5","154.5","154.5","154.5","140","140","136.5","95.5","75.8","67.2","54.7","4.55","0.88","-0.48","-2.6"
="3017","奇鋐","88.7","-0.67","-0.56","+3.14","+3.38","+1.37","+18.1","+23.9","+24.2","96.4","96.4","96.4","96.4","96.4","96.4","96.4","87.5","86.8","82.4","80.6","71.2","66.8","52.5","-2.43","2.36","-0.07","+0.62"
="3019","亞光","96.9","-1.62","-0.72","-0.1","+2","+14.1","+21.3","+19.2","+23","100.5","101.5","103.5","103.5","103.5","103.5","103.5","96.6","96.2","90.5","84.6","70","70","66.5","-2.67","-3.05","-0.16","-0.15"
="3023","信邦","253","-1.56","-2.5","+0.4","-2.69","+6.53","+19.1","-6.64","+24.9","272","272","272","272","272","298","298","250.5","241.5","241.5","237.5","210.5","207.5","195.5","-0.96","-3.05","+6.12","-0.01"
="3024","憶聲","14.7","+6.91","+8.89","+9.29","+7.69","+0.68","+17.6","+17.6","+28.4","15.1","15.1","15.1","15.3","15.3","15.3","18.05","13.5","13.3","13.2","13.2","12.2","12.15","9.86","4.88","4.98","0","0"
="3031","佰鴻","25.5","-2.49","+2.2","+4.94","-0.58","+4.08","-0.97","+38.2","+69.4","26.7","26.7","26.7","26.9","27.45","31.85","31.85","25","24.25","22.85","22.85","20.05","18.2","14.2","-2.13","-1.6","-0.58","-0.62"
="3033","威健","29.5","+1.2","+1.55","+1.03","-0.51","+3.33","+16.1","+22.4","+49","29.6","29.6","30.35","33","33","33","33","28.95","28.95","28.4","28.4","25.3","21.7","18","7.21","6.82","-1.33","-1.13"
="3035","智原","188.5","-3.08","+5.6","+2.17","+6.8","+4.14","+87.6","+165","+265","197.5","197.5","197.5","207.5","219","219","219","175","175","171.5","171.5","99.7","73","48.3","8.88","0.99","+5.17","-0.36"
="3036","文曄","65.2","-0.31","0","+0.15","+0.93","+0.93","+6.71","+19.6","+59.4","65.9","66","67.4","67.4","67.4","69.3","69.3","64.9","64.8","62.4","62.4","57.4","53.3","40","16.2","19.2","-0.02","-0.02"
="3037","欣興","218","-1.36","-0.46","+2.35","+3.56","+13.2","+51.4","+69","+162","228","228","229.5","229.5","229.5","229.5","229.5","215","212","201.5","189","115","115","80","3.36","4.06","-0.5","+0.75"
="3041","揚智","34.5","+1.62","+3.29","+2.83","-0.86","+23.2","+18.2","+25.2","+6.98","35.4","35.8","35.8","41.3","41.3","41.3","41.3","32.6","32.6","32.55","28.05","22.7","22.7","20.6","-0.13","-0.86","-0.64","-0.52"
="3044","健鼎","123","+0.82","+0.82","+1.65","+3.36","+6.03","+6.03","-3.53","-1.2","123.5","123.5","125","125","125","139","147","120","120","119.5","113","109.5","108","108","44.4","33.6","+0.02","-0.07"
="3045","台灣大","98.8","+0.2","+0.82","0","0","0","+0.3","-4.54","+1.02","99","99","99","100.5","100.5","109.5","109.5","98","97.5","97","97","97","96","95.5","15.4","-1.98","0","0"
="3046","建碁","39.75","-8.3","-1.12","+1.92","-1.49","+56.5","+97.8","+74.3","+145","44.8","44.8","44.8","44.8","44.8","44.8","44.8","39.3","38.75","37.45","23.2","17.8","17.8","14.65","1.66","2.66","0","0"
="3049","和鑫","13.8","+1.1","-0.36","+3.76","-1.08","+11.3","+23.2","+8.24","+18.5","14.25","14.25","14.25","16","16","16","16","13.6","13.35","12.9","12.45","10.6","10.6","9.35","7.47","5.62","+0.19","+0.28"
="3050","鈺德","17.8","+0.28","-0.28","+0.85","+1.14","+1.14","+18.7","+21.9","-9.64","18.8","18.8","18.8","18.8","18.8","18.8","21.9","17.65","17.65","16.35","16.35","13.55","13.55","12.5","3.32","3.07","-0.04","+0.17"
="3051","力特","14.9","+9.96","+32.4","+36.7","+29.6","+40.6","+62.8","+78.4","+157","14.9","14.9","14.9","14.9","14.9","14.9","14.9","11.75","10.85","10.5","10.05","8.5","8.28","5.25","2.03","1.64","0","0"
="3059","華晶科","41.25","+0.73","+6.59","+6.73","+3.77","+5.77","+18.9","+16","+14.3","42.3","42.3","42.3","42.3","42.3","43","48.55","38.1","38.1","36.6","36.6","30.4","30.4","27.4","1.07","0.94","-0.12","-0.12"
="3062","建漢","31.35","-0.79","-0.32","+2.45","-9.39","+19.7","+76.6","+56.4","+92.3","33.05","33.3","34.35","37.65","37.65","37.65","37.65","31.2","30.75","30","25.8","17.05","16.6","14.55","-4.77","-6.68","-0.04","-0.9"
="3090","日電貿","54.1","-1.46","-4.59","-1.99","+3.24","+5.05","+6.71","+1.31","+4.84","55.8","57.7","57.7","57.7","57.7","60.6","63.1","53.8","53.8","51.3","51.3","48.8","48.7","46.3","-16.4","-1.33","+0.03","+0.01"
="3105","穩懋","377","+4.14","+6.2","+7.1","+7.41","+8.02","+15.1","+5.31","+5.31","378","378","378","378","378","402","467.5","357","351.5","339","339","290.5","290.5","276.5","20.1","16.2","-1.18","-0.79"
="3122","笙泉","60.5","-1.94","-6.78","-6.78","-1.63","+21","+17.9","+54.1","+213","68.7","68.7","68.7","72.8","72.8","72.8","72.8","60.3","60.3","58.5","50.1","37.25","35.4","15.85","0.07","-0.38","-0.29","-1.28"
="3128","昇銳","23.4","-4.88","+0.65","+2.63","+0.65","+1.3","+31.1","+33.7","+77.9","25","25","25","25","25","25","26.5","22.7","22.7","21.5","21.5","17.65","17.15","12.7","1.53","0.64","+0.07","+0.05"
="3141","晶宏","260","+0.78","+4.84","+12.3","+5.48","+19","+60.5","+194","+520","270.5","270.5","270.5","285","285","285","285","245","232.5","226","212.5","130","85","38.3","4.39","3.92","-0.4","-0.26"
="3169","亞信","282.5","+3.1","-2.59","+8.24","+6.81","+59.2","+113","+88.3","+565","295","299.5","299.5","299.5","299.5","299.5","299.5","271.5","262.5","231.5","176.5","112","112","41.3","-2.02","-0.71","-0.23","+2.94"
="3189","景碩","229.5","-3.16","-3.16","-0.22","-3.97","-5.75","+12.5","+88.9","+168","240","243.5","244.5","257.5","257.5","257.5","257.5","228","228","220","220","181","113","73.1","-9.06","1.86","-1.72","-2.95"
="3207","耀勝","24.1","-0.41","-0.41","+2.55","-2.43","-10.7","+29.9","+113","+141","25.9","25.9","25.9","28.7","28.7","28.7","28.7","23.65","23.1","23.1","21.9","13.05","10","9","7.63","14.7","-0.75","-1.17"
="3217","優群","132","+7.76","+3.94","+7.32","+25.1","+40","+36.5","+26.9","+12.8","134.5","134.5","134.5","134.5","134.5","134.5","138.5","122.5","121.5","102","92.7","79.6","79.6","79.6","11.1","10.5","+1.34","+1.35"
="3221","台嘉碩","42.8","-0.12","-1.61","+4.14","+6.2","+23.7","+25.3","+92.8","+84.1","44.35","44.35","47.6","47.6","47.6","47.6","47.6","41.25","41.25","37","33.75","26.1","22.2","17.75","-3.51","-3.28","-0.19","0"
="3231","緯創","29.15","-0.17","-0.51","0","-1.69","+1.04","+7.56","-3.64","-9.33","29.4","29.4","29.9","29.9","30.05","33.15","34.8","28.95","28.8","28.6","28.5","26.9","26.55","26.55","2.98","1.88","-0.05","-0.06"
="3276","宇環","18.4","-2.9","+0.27","+8.55","+8.55","+2.51","+26","+43.8","+83.1","20","20","20","20","20","20","21.75","17.65","16.85","16","16","14.55","11.9","9.5","-5.27","-2.9","0","0"
="3290","東浦","21.35","+0.71","-5.11","-3.39","+17.3","+40.5","+71.5","+68.1","+29.4","23.5","23.5","23.5","23.5","23.5","23.5","23.5","20.75","20.75","18","15","12.4","12.05","11.55","1.58","3.93","-1.75","-1.83"
="3294","英濟","36.15","-5.98","-0.14","+10.9","+61","+55.2","+119","+57.2","+61.7","39.95","39.95","39.95","39.95","39.95","39.95","39.95","35.5","31.85","22.25","21.5","16.25","16.2","16.2","-0.88","-0.04","-0.21","+0.95"
="3305","昇貿","81.1","-1.93","+2.14","+4.24","+0.12","+0.37","+68.1","+65","+175","85.6","85.6","85.6","92.4","92.4","92.4","92.4","81","76.3","76","76","47.45","43.1","26.65","-1.28","-0.46","+0.08","-0.48"
="3306","鼎天","35.9","-2.05","-12.2","+1.41","+25.3","+23.4","+43.6","+73.4","+87.5","41.3","42.75","42.75","42.75","42.75","42.75","42.75","35.6","35","28.65","27.35","23.6","19.9","18.4","1.81","0.13","-1.48","-1.11"
="3312","弘憶股","24.1","0","-1.43","-6.04","-5.68","+5.7","+12.6","+19","+65.6","25.25","25.85","29.05","29.05","29.05","29.05","29.05","23.85","23.85","23.85","22.5","18.6","18.6","14.05","-23.9","-23.2","+0.37","-0.73"
="3317","尼克森","79.5","-2.45","-2.33","-1.85","-0.13","+2.32","+7","+23.6","+83.2","84.3","84.3","84.7","86.6","86.6","97.9","97.9","79.5","79.5","75.1","75.1","59.5","59.5","41","0.63","1.98","-0.84","-0.99"
="3321","同泰","14.1","-2.76","-5.05","+2.17","+5.62","+8.46","+14.2","+7.63","-9.03","15","15.1","15.1","15.1","15.1","15.4","16.25","13.9","13.75","12.6","12.6","10.85","10.85","10.6","6.62","-1.16","0","0"
="3324","雙鴻","202.5","-0.25","+4.65","+6.86","+8.29","+27.4","+23.1","+15.7","-10.6","208.5","208.5","208.5","208.5","208.5","213.5","252","191","188.5","174.5","159.5","150.5","148.5","135","5.6","9.48","-0.21","-0.11"
="3338","泰碩","54.3","-1.09","-6.7","-12.7","-5.73","+32.1","+32.9","+10.4","-18.6","58.7","64.2","64.2","64.2","64.2","64.2","67.7","53.2","53.2","51","40.5","35.8","35.8","35.8","3.03","0.82","-0.15","-2.56"
="3354","律勝","21.05","+1.45","-4.32","+7.67","+7.4","+13.8","+29.9","+54.2","+63.8","23.9","23.9","23.9","23.9","23.9","23.9","23.9","20.6","19.65","17.4","17.4","14.55","13.55","11.35","-5.19","-0.64","-0.58","+0.67"
="3363","上詮","34.2","-1.72","-13.3","-1.16","-0.58","-0.87","+31","+33.9","+17.3","39.85","39.85","39.85","39.85","39.85","39.85","39.85","34.05","34.05","31.3","31.3","25.2","24.35","22.05","-9.17","-3.53","-2.81","-0.24"
="3406","玉晶光","557","+3.34","+9","+7.74","+7.12","+32.5","+12.2","+7.12","-10.5","557","557","562","562","562","629","629","513","503","497","418","370","370","369","24.7","15.3","+2.07","+1.03"
="3413","京鼎","238","-1.65","+1.06","+5.78","+9.17","+11.5","+11.7","-0.42","+3.25","251","251","251","251","251","268","281.5","230.5","225","207.5","207.5","188","188","183.5","-0.84","2.55","+0.18","+0.27"
="3419","譁裕","28.1","+0.72","+15.4","+13.1","-11.6","+67.8","+83.1","+47.1","+43.4","29.4","29.4","31.8","32.4","32.4","32.4","32.4","24.65","24.05","24.05","18.4","13.6","13.6","13.6","-3.11","-3.18","+1.51","-0.01"
="3434","哲固","18.7","+1.08","+3.89","-0.53","+10.3","+14","+37","+29.9","+34.1","20.5","20.5","20.5","20.5","21.25","21.25","21.25","18.1","17.6","16.2","15.05","13.15","12.8","12.65","1.67","1.45","+0.46","+0.19"
="3443","創意","587","+2.44","+2.62","-1.34","+4.82","-0.68","+32.5","+60.6","+68.9","588","616","616","621","639","639","639","562","562","552","552","438.5","362","301","22.4","2.48","+3.79","-4.63"
="3455","由田","79.7","+4.73","+10.7","+13","+10.4","+15","+41.8","+35.3","+36","80","80","80","80","80","80","80","71.4","70.6","68.6","67.6","51.7","51.7","50.6","5.42","6.18","+0.14","+0.02"
="3466","致振","18.8","+4.44","+0.53","+15","+9.62","+0.8","+12.2","+60.7","+48.6","19.85","19.85","19.85","19.85","21.15","21.15","21.15","17.65","16.6","15","15","13.55","11.7","10","-1.57","3.67","-0.63","-1.46"
="3484","崧騰","77.4","-2.03","-3.49","+0.91","-1.65","+9.32","+4.45","+9.63","+27.7","80.8","81.5","81.5","82.1","82.1","84.9","87.5","77.3","76.7","76.1","68.3","60.5","60.5","51.3","-11.3","-2.05","-0.44","-0.06"
="3490","單井","32.6","-1.21","-2.4","+0.15","+2.03","+21.4","+32.3","+39.9","+3.66","33.75","34.4","35.95","35.95","35.95","35.95","38.6","32.05","32.05","30","26.7","22.6","22.6","20.25","-3.19","-7.41","+0.41","+0.26"
="3491","昇達科","177.5","-2.74","+7.58","+10.9","+1.43","+22.4","+145","+166","+137","184","184","184","188","188","188","188","164","158","151.5","144.5","71.5","64.9","58.6","-0.21","-0.06","-0.05","-3.35"
="3499","環天科","25.9","-0.58","+20.2","+33.5","+38.1","+90.4","+104","+101","+122","28.6","28.6","28.6","28.6","28.6","28.6","28.6","22.1","19.4","18.7","13.1","11.8","11.8","10.8","-0.1","0.11","+15.7","+16"
="3504","揚明光","127","-0.78","-1.55","+3.25","0","-3.42","+16.5","+65.1","+110","132.5","135","135","154","154","154","154","124.5","124.5","116","116","96.1","75.4","53","1.73","-1.93","+2.36","+0.58"
="3508","位速","70","+6.38","+13.5","+37.3","+34.4","+72.8","+266","+219","+194","73.6","73.6","73.6","73.6","73.6","73.6","73.6","62.9","51.8","46.45","41.6","18.65","18.5","18","0.34","0.12","+8.16","+12.5"
="3515","華擎","287.5","+0.35","+16.9","+16.6","+21.8","+39.9","+104","+66.7","+66.2","288.5","288.5","288.5","288.5","288.5","288.5","288.5","246","238","219.5","200.5","139.5","125","125","2.82","3.2","+3.31","+2.93"
="3520","華盈","15.75","-1.56","+4.65","+15.4","+8.62","+19.8","+21.2","+18.9","-3.08","17.9","17.9","17.9","17.9","17.9","17.9","18.8","15.2","13.7","13.3","13.15","12.5","12.05","12.05","0.02","0.15","",""
="3532","台勝科","280","-6.04","+7.49","+8.95","+19.7","+65.7","+56.4","+60.5","+91.8","307.5","307.5","307.5","307.5","307.5","307.5","307.5","257","251","224","167","138.5","138.5","124.5","-0.54","2.46","+1.86","+4.66"
="3576","聯合再生","22","+0.92","+3.29","+7.58","+1.62","-8.71","+5.77","+61.2","+46.2","22.4","22.4","22.4","24.1","26.25","26.25","26.25","21.2","20.85","20","20","19","12","11.2","2.47","-5.58","0","0"
="3588","通嘉","147.5","0","-3.59","-6.05","-1.99","+10.1","+18.5","+67.2","+187","159.5","161","168.5","174.5","174.5","174.5","174.5","147","147","143","132.5","106.5","80.2","50.8","-4.65","-1.18","-2.78","-3.3"
="3591","艾笛森","25.25","-2.88","+1.41","+12.2","+13.7","+16.6","+13.7","+29.5","+64","27.6","27.6","27.6","27.6","27.6","31.5","31.5","25.1","22.65","20.8","20.8","17.65","17.65","14.6","-3.45","-3","+7.03","+7.69"
="3596","智易","113","+4.15","+5.61","+4.63","+5.12","-1.31","+25","+12.4","+14.5","115","115","115","120","120","120","128","107.5","106","103","103","88.7","87.2","83.6","23","19.6","+3.18","+3.09"
="3624","光頡","58.5","+3.91","+14.7","+16.8","+21.1","+37.3","+39.3","+82.2","+84.5","61.9","61.9","61.9","61.9","61.9","61.9","61.9","50.7","50","44.7","41.3","34.15","31.8","26.05","0.63","-0.7","+2.04","+1.58"
="3653","健策","429","+0.23","-0.23","-2.72","+3.37","+10.4","+45.9","+41.6","+49.2","454","461","461","461","461","461","461","422","422","397.5","378","292","276.5","202","3.81","-0.05","-1.58","-0.41"
="3675","德微","273.5","-1.8","-2.67","+7.25","+14","+6.21","+43.6","+158","+252","308","308","308","308","309","309","309","270","260","227.5","227.5","154","98","64.5","0.41","1.81","-1.6","+2.17"
="3680","家登","320","+0.79","0","+5.61","+25.2","+21.7","+36.8","+17","+9.97","325.5","334.5","334.5","334.5","334.5","334.5","383.5","308.5","303","250.5","248","208","208","208","16","15.1","+0.32","+0.52"
="3685","元創精密","41","-0.24","-0.73","+8.47","+2.37","+26.5","+66","+53.8","+116","45.4","45.4","45.4","47.5","47.5","47.5","47.5","39.5","37.3","34.95","32.35","21.2","21.2","18.25","-2.88","-0.53","-0.33","+0.46"
="3689","湧德","46","+1.55","+0.11","+8.11","+4.9","+3.6","-10.9","+55.4","+30.7","46.75","46.75","46.75","46.75","54.7","54.7","54.7","44.65","43.05","41.2","41.2","39.9","27.8","24.6","3.89","8.55","-0.35","+1.41"
="3701","大眾控","90.3","-1.85","+5.61","+4.51","+21.5","+62.4","+251","+536","+584","98","98","98","98","98","98","98","83.7","83.7","72.1","55.9","24.2","13.4","12.8","0.82","0.07","-4.81","-6.96"
="3702","大聯大","50.2","0","-1.18","+0.2","-0.79","-4.02","+5.02","-0.4","+19.1","50.8","50.8","50.8","52.7","53","61","61","50.1","50","49.2","49.2","46.85","46.55","41.65","-20","-16","-0.12","-0.18"
="3706","神達","32.75","+0.15","+1.39","+3.31","-0.46","+12.7","+15.7","+18.9","+5.14","33.1","33.1","33.1","35","35","35","35","32.35","31.95","31.2","28.9","27.35","26.85","25.3","-7.77","-5.52","-0.02","-0.18"
="3707","漢磊","141.5","-1.05","-5.35","-9.29","-2.75","-0.35","+39.4","+102","+257","151","159","159","173","173.5","173.5","173.5","139","139","137","137","99.7","70.3","37","-9.33","-7.14","-5.89","-8.88"
="4127","天良","14.4","-3.68","-10","+8.27","+22","+23.1","+19","+27.4","+32.7","15.45","16.05","16.05","16.05","16.05","16.05","16.05","13.8","13.3","11.65","11.55","10.7","10.2","9.81","-1.97","-0.55","",""
="4128","中天","68.5","-1.3","+3.01","+7.87","-1.15","+16.3","+22.1","+5.06","+8.73","71.3","71.3","72","75.3","75.3","75.3","82.5","65.6","63.7","63","57.7","50.2","50.2","50.2","13.2","8.45","+0.01","+0.03"
="4141","龍燈-KY","24.85","+2.69","+2.26","+15.3","+17.5","+3.76","+61.4","+105","+108","25.4","25.4","25.4","25.4","30","30","30","23.65","21.9","20.4","19.85","13.55","11.45","11.05","-3.14","0.19","-0.3","-0.28"
="4303","信立","28.7","-1.03","-16.6","-1.71","-2.71","+37.3","+79.9","+51.5","+22.6","34.2","34.7","34.7","34.7","34.7","34.7","34.7","28.15","28.15","27.2","20.9","15.85","15.85","15.85","-0.39","0.35","-0.23","+0.24"
="4513","福裕","14.6","-4.58","+0.69","+3.91","0","+1.74","+54.8","+46","+69.4","15.9","15.9","15.9","17","17","17","17","14.55","14","13.6","13.6","9.34","9.28","8.18","3","9.36","-1.59","-1.32"
="4533","協易機","13.15","-2.95","+5.62","+10.5","+10.5","+14.3","+12.4","+16.9","+15.4","13.85","13.85","13.85","13.85","13.85","13.85","14.5","12.4","11.95","11.6","11.25","10.8","10.8","10.4","0.4","0.62","0","0"
="4714","永捷","14.05","-1.4","-1.4","+0.36","-4.75","-5.7","+12","+9.34","+13.8","14.6","14.6","14.9","15.95","15.95","16.15","16.15","14","14","13.65","13.65","12.5","11.75","11.15","-12.4","-9","+0.39","+0.48"
="4721","美琪瑪","154","+1.32","-0.65","+3.01","-4.94","-3.75","+21.3","+152","+149","159","159","163","184.5","184.5","184.5","184.5","150.5","146.5","146.5","146.5","102","60.8","50","-7.2","1.33","-5.21","+5.35"
="4739","康普","146.5","+2.81","+1.74","+5.4","+0.69","-2.01","+29.6","+90","+145","151","151","151","170","176.5","176.5","176.5","140","138.5","136.5","136.5","98.2","76.2","57.7","-7.1","0.97","-3.32","+3.75"
="4743","合一","297.5","-1","+0.34","+2.76","-0.17","+17.1","+55.8","+28","+26.9","312.5","312.5","314.5","338","338","338","338","291","285.5","275.5","245","165","165","165","-0.97","-4.66","",""
="4744","皇將","31.95","+3.4","+15.8","+14.7","+13.3","+23.4","+24.1","+22.4","+3.73","33.85","33.85","33.85","33.85","33.85","33.85","33.85","27.7","27.5","27.5","25.6","24.45","24.45","23.05","-0.54","-0.59","+0.12","+0.12"
="4755","三福化","101","0","+7.68","+23.5","+22.7","+14.6","+56.6","+59.3","+51.2","106","106","106","106","106","106","106","91.1","82.6","77","77","64.8","59.6","56.2","0.45","1.05","+0.7","+1.34"
="4904","遠傳","63.2","+0.48","+0.96","-0.32","-0.32","+0.32","+4.64","-3.66","+3.61","63.6","63.6","63.6","65","65","65.9","66.8","62.4","62.3","61.5","61.5","60.3","60","59.8","28.4","22.3","0","0"
="4915","致伸","53.6","-2.19","+0.19","0","0","+7.85","+3.28","+2.68","+9.95","55.2","55.2","55.4","59","59","64.8","67","53.6","52.9","50.8","49.8","48.75","47.8","46.35","-11.1","-15","+0.08","+0.19"
="4916","事欣科","31.85","+2.08","+3.24","+3.24","-3.78","-5.35","+27.1","+36.1","+21.1","33","33","33.4","39.55","39.55","39.55","39.55","31.05","30.8","29.5","29.5","22.55","22.55","20","0.39","0.94","-0.39","-0.77"
="4919","新唐","141","-2.42","-5.37","-7.24","+1.44","+8.46","+6.02","+69.7","+176","151.5","158","164.5","164.5","164.5","175","175","141","141","137","129","115","77.8","41.7","-5.34","-3.17","-1.63","-2.04"
="4927","泰鼎-KY","95","-0.42","-0.63","-3.36","-5","+1.5","+32.9","+69","+22.3","98","99.9","114","114","114","114","114","93.4","93.4","93.4","90.1","64.5","53.6","44.55","3.67","1.65","+0.09","+0.28"
="4934","太極","34.2","+1.63","+0.15","+3.17","-4.07","-6.68","+3.48","+43.7","+15.3","35","35","35.85","38.55","42","42","42","33.3","33.3","32.45","32.45","31.4","22.95","20.7","7.68","4.76","0","0"
="4938","和碩","68","+1.34","+1.64","+2.41","+0.29","-1.45","+5.92","-6.85","-2.02","68","68","68","69.2","70.9","75","84.5","66.6","66.1","66.1","66.1","64.1","63.5","63.5","26","12.8","0","-0.81"
="4956","光鋐","28","+1.27","+0.54","+4.09","+3.32","+18.6","+12.4","+22.5","+39.3","30.4","30.4","30.4","30.4","30.4","33.45","33.45","26.95","26","25.4","23.6","20.3","20.3","18.1","-0.98","-0.33","-1.02","-1.17"
="4960","誠美材","13.15","+2.33","+6.05","+6.91","+0.77","+6.48","+19","+11.4","+5.2","13.25","13.25","13.25","13.9","13.9","13.9","16","12.4","12.15","12.15","12.1","10","10","10","3.66","1.2","+0.4","+0.27"
