"代號","名稱","成交","漲跌幅","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","3日最高股價","5日最高股價","10日最高股價","一個月最高股價","三個月最高股價","半年最高股價","一年最高股價","3日最低股價","5日最低股價","10日最低股價","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","三大法人3日累計買賣超佔成交(%)","三大法人5日累計買賣超佔成交(%)","券資比3日增減","券資比5日增減"
="6279","胡連","134.5","-1.82","+4.26","+2.67","+3.46","+5.08","+15.9","+22.3","+19.6","138.5","138.5","138.5","144.5","144.5","152.5","152.5","130.5","127.5","123","123","105.5","105.5","91.4","6.36","0.41","+0.02","-0.07"
="6282","康舒","34","+0.59","+0.59","+5.1","-1.16","-2.58","+28.3","+26.9","+15.4","34.6","34.6","36.1","39.55","39.55","39.55","39.55","33.4","32.7","32.25","32.25","26.35","25.05","22.5","9.09","9.92","+0.14","+0.4"
="6285","啟碁","74.8","+1.49","+2.61","+2.19","-1.58","-5.32","+8.25","+7.78","-5.91","76.2","76.2","76.2","79.3","80.6","81","84.2","72.8","72.3","72.3","72.3","69.2","66.5","58.8","-10.8","-13.2","-0.06","-0.01"
="6411","晶焱","271","-1.63","-0.37","+1.69","+4.23","+27.2","+61.8","+102","+181","294","294","294","302","302","302","302","271","266.5","246","214.5","162","127","94.8","1.56","3.06","-3.26","-0.74"
="6414","樺漢","239","+0.21","+4.37","+0.42","+5.99","+9.13","+25.5","+9.89","-9.13","245","245","251","251","251","251","284.5","229","227","219.5","211","176","176","176","8.44","0.63","+1.02","+1.18"
="6443","元晶","41.2","+0.86","0","+14.3","+8.28","+2.74","+41.6","+21","+2.87","43.1","43.1","43.1","43.1","43.1","43.1","48.95","40.1","37.6","33.8","33.8","27","26.25","26.25","-5.51","1.13","-7.46","+0.96"
="6446","藥華藥","327.5","+9.9","+22.4","+36.5","+67.9","+230","+256","+258","+226","327.5","327.5","327.5","327.5","327.5","327.5","327.5","279.5","238","187","99.8","69","69","69","-11.2","-12","",""
="6457","紘康","207.5","-1.43","-2.58","+0.48","-10.6","+25.4","+34.3","+30.9","+177","216.5","222.5","235.5","239.5","239.5","239.5","239.5","207.5","207.5","206","163.5","139","139","70.4","-8.61","-3.8","",""
="6485","點序","154","0","-6.67","-6.1","+1.65","+9.61","+6.94","+16.2","+426","169","171","175","176.5","176.5","191","191","152.5","152.5","148","141","100","100","29.3","-4.1","-2.53","-0.2","-1.25"
="6488","環球晶","809","+0.37","-0.37","+0.87","-4.37","+3.85","-9.2","-6.8","+22.9","822","837","846","885","920","972","972","799","799","796","775","708","708","600","-23.2","-17.8","-0.65","-0.7"
="6494","九齊","156.5","-1.26","-2.8","+0.97","+0.97","+2.62","+3.3","+20.4","+231","165.5","170.5","170.5","174","174","182","182","156.5","156","147","147","124","120.5","45.1","-3.98","-4.64","-0.79","-1.11"
="6505","台塑化","97.5","-0.2","+0.52","+0.52","-0.91","-3.94","+1.56","-11","+3.39","98.5","98.5","98.5","103.5","106","117.5","117.5","96.4","96.1","95.2","95.2","92.5","90.3","88.4","-2.99","-8.57","-0.16","-0.16"
="6509","聚和","67.5","+2.43","+2.43","+4.65","-2.03","-1.32","+17.2","+124","+151","69.1","69.1","69.2","76.2","82.9","82.9","82.9","64.8","64.4","63.9","63.9","50.2","30.25","23.45","-2.62","-1.76","+1.14","+3.62"
="6514","芮特-KY","68.7","+6.68","+20.7","+23.1","+21.6","+27.5","+65.1","+50.2","+38.9","70.8","70.8","70.8","70.8","70.8","70.8","70.8","57.6","54.5","53.2","52.8","39.5","39.5","39.5","0.58","2.08","-0.04","-0.02"
="6533","晶心科","524","-2.96","-6.43","-6.6","-7.58","+0.38","+16.3","+16.1","+71.2","569","584","589","635","635","642","644","522","522","515","504","351.5","351.5","246.5","-16.3","-13.3","-0.97","-1.28"
="6548","長科*","97","-1.52","-1.52","-0.51","-3","-3.96","-3","+50.2","+63.6","100.5","100.5","101","108","111.5","115.5","115.5","96.2","95.8","95.2","95.2","87","62","52","-3.04","-7.87","+27.5","+18.9"
="6568","宏觀","352","-4.61","-2.36","+7.32","+2.92","+4.3","+16.4","+159","+145","378","378","378","426.5","426.5","426.5","426.5","351.5","332.5","287.5","287.5","248.5","132","112","3.81","1.43","",""
="6576","逸達","112","+9.8","+11.4","+13.7","+16.2","+44","+38.8","-3.45","+23.8","112","112","112","112","112","115.5","127","99.5","98.3","93.1","77.2","72.3","72.3","72.3","6.34","3.65","",""
="6603","富強鑫","18.35","-3.67","-5.41","-5.66","-5.66","+8.9","+14.3","+48.6","+53.6","19.8","21.2","21.2","21.2","21.2","21.2","21.2","18","18","18","16.2","14.3","12.35","10.95","4.13","-1.02","+0.55","+0.97"
="6706","惠特","219","-0.23","-1.35","+6.57","+6.31","+2.1","+10.9","+24.4","+24.8","235.5","235.5","235.5","235.5","235.5","235.5","235.5","216","206","200","200","157","157","129.5","-3.97","4.05","+1.55","+2.48"
="8021","尖點","41.8","-1.18","-1.3","+0.72","+1.21","+3.59","-0.36","+5.29","+46.9","42.8","42.8","42.8","43.4","46.9","49.5","49.5","41.8","41.7","39","39","35.05","35.05","25.65","28.3","27.9","-0.48","-0.33"
="8040","九暘","75.5","-0.92","-5.39","-1.95","-2.83","+14.2","+30.2","+57.9","+334","79.7","81.6","82.5","87.6","87.6","87.6","87.6","75.5","75.5","68","65.5","49.05","47.45","16.15","-3.1","-1.12","+0.01","-0.51"
="8044","網家","134","0","0","+2.68","-0.74","-11.3","+18.6","+18.6","+52.3","136","136","143.5","153.5","157.5","157.5","157.5","130.5","128","128","128","108","98.7","77.3","1.7","13.2","-1.02","+0.3"
="8046","南電","586","+0.17","+0.86","-0.68","+1.21","+8.12","+39.4","+68.1","+231","601","608","631","631","631","631","631","580","580","572","538","388.5","338","167","5.4","2.47","-1.46","-1.72"
